column,rows,non_null,missing,missing_pct,unique_values,is_core_column
club,3,3,0,0.0,3,True
competition,3,3,0,0.0,2,True
minutes,3,3,0,0.0,3,True
player,3,3,0,0.0,3,True
season,3,3,0,0.0,1,True
source_sheet,3,0,3,100.0,0,False
age,3,3,0,0.0,3,False
data_quality_flag,3,3,0,0.0,1,False
fouls_per90,3,3,0,0.0,3,False
interceptions_per90,3,3,0,0.0,3,False
nineties,3,3,0,0.0,3,False
player_id,3,3,0,0.0,3,False
player_season_id,3,3,0,0.0,3,False
red_cards_per90,3,3,0,0.0,1,False
source_file,3,3,0,0.0,1,False
tackles_won_per90,3,3,0,0.0,3,False
yellow_cards_per90,3,3,0,0.0,3,False
