column,dtype,non_null,missing,missing_pct,unique,numeric_like,category,inferred_unit,modelling_suitability
Rk,int64,2839,0,0.0,2839,True,identity_or_duplicate_metadata,identifier_or_year,metadata
Player,object,2839,0,0.0,2687,False,identity_or_duplicate_metadata,count_or_rate_unknown,metadata
Nation,object,2836,3,0.11,115,False,identity_or_duplicate_metadata,count_or_rate_unknown,metadata
Pos,object,2839,0,0.0,9,False,identity_or_duplicate_metadata,count_or_rate_unknown,metadata
Squad,object,2839,0,0.0,96,False,identity_or_duplicate_metadata,count_or_rate_unknown,metadata
Comp,object,2839,0,0.0,5,False,identity_or_duplicate_metadata,count_or_rate_unknown,metadata
Age,float64,2837,2,0.07,27,True,identity_or_duplicate_metadata,identifier_or_year,metadata
Born,float64,2837,2,0.07,28,True,identity_or_duplicate_metadata,identifier_or_year,metadata
MP,int64,2839,0,0.0,38,True,playing_time,count_or_rate_unknown,candidate
Starts,int64,2839,0,0.0,39,True,playing_time,count_or_rate_unknown,candidate
Min,int64,2839,0,0.0,1684,True,playing_time,minutes,candidate
90s,float64,2839,0,0.0,370,True,playing_time,count_or_rate_unknown,candidate
Gls,int64,2839,0,0.0,25,True,shooting_or_output,count_or_rate_unknown,candidate
Ast,int64,2839,0,0.0,18,True,shooting_or_output,count_or_rate_unknown,candidate
G+A,int64,2839,0,0.0,32,True,shooting_or_output,count_or_rate_unknown,candidate
G-PK,int64,2839,0,0.0,22,True,shooting_or_output,count_or_rate_unknown,candidate
PK,int64,2839,0,0.0,10,True,shooting_or_output,count_or_rate_unknown,candidate
PKatt,int64,2839,0,0.0,11,True,defending_or_goalkeeping,count_or_rate_unknown,candidate
CrdY,int64,2839,0,0.0,14,True,defending_or_goalkeeping,count_or_rate_unknown,candidate
CrdR,int64,2839,0,0.0,4,True,defending_or_goalkeeping,count_or_rate_unknown,candidate
G+A-PK,float64,2839,0,0.0,124,True,shooting_or_output,count_or_rate_unknown,candidate
Rk_stats_keeper,float64,194,2645,93.17,194,True,identity_or_duplicate_metadata,identifier_or_year,metadata
Nation_stats_keeper,object,194,2645,93.17,46,False,identity_or_duplicate_metadata,count_or_rate_unknown,metadata
Pos_stats_keeper,object,194,2645,93.17,1,False,identity_or_duplicate_metadata,count_or_rate_unknown,metadata
Comp_stats_keeper,object,194,2645,93.17,5,False,identity_or_duplicate_metadata,count_or_rate_unknown,metadata
Age_stats_keeper,float64,194,2645,93.17,22,True,identity_or_duplicate_metadata,identifier_or_year,metadata
Born_stats_keeper,float64,194,2645,93.17,23,True,identity_or_duplicate_metadata,identifier_or_year,metadata
MP_stats_keeper,float64,194,2645,93.17,38,True,playing_time,count_or_rate_unknown,candidate
Starts_stats_keeper,float64,194,2645,93.17,38,True,playing_time,count_or_rate_unknown,candidate
Min_stats_keeper,float64,194,2645,93.17,96,True,playing_time,minutes,candidate
90s_stats_keeper,float64,194,2645,93.17,82,True,playing_time,count_or_rate_unknown,candidate
GA,float64,194,2645,93.17,60,True,defending_or_goalkeeping,count_or_rate_unknown,candidate
GA90,float64,194,2645,93.17,100,True,defending_or_goalkeeping,per_90,candidate
SoTA,float64,194,2645,93.17,114,True,defending_or_goalkeeping,count_or_rate_unknown,candidate
Saves,float64,194,2645,93.17,93,True,defending_or_goalkeeping,count_or_rate_unknown,candidate
Save%,float64,190,2649,93.31,116,True,defending_or_goalkeeping,percentage,candidate
W,float64,194,2645,93.17,27,True,unclassified,count_or_rate_unknown,review
D,float64,194,2645,93.17,16,True,unclassified,count_or_rate_unknown,review
L,float64,194,2645,93.17,23,True,unclassified,count_or_rate_unknown,review
