Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,position_tokens,is_goalkeeper,is_defender,is_midfielder,is_forward,is_pure_midfielder,is_mixed_midfielder,Min_numeric,Age_numeric,TklW_per90,Int_per90,Fls_per90,Fld_per90,CrdY_per90,CrdR_per90,Crs_per90,Off_per90,meets_preferred_minutes
968,James Garner,eng ENG,"MF,DF",Everton,eng Premier League,24.0,2001.0,38,38,3413,37.9,2,7,9,2,0,0,12,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,968,eng ENG,"MF,DF",eng Premier League,24.0,2001.0,37.9,2,45,14,31.1,1.19,0.37,0.04,0.14,0,0,1198,eng ENG,"MF,DF",eng Premier League,24.0,2001.0,38,3413,90,99.8,37.9,38,90.0,37,0,,0,1.29,47,50,-3,-0.08,-0.08,968,eng ENG,"MF,DF",eng Premier League,24.0,2001.0,37.9,12,0,0,39,42,0,205,57,72,0,"MF,DF",False,True,True,False,False,True,3413,24.0,1.899736147757256,1.503957783641161,1.029023746701847,1.108179419525066,0.316622691292876,0.0,5.408970976253299,0.0,True
364,Jarrod Bowen,eng ENG,"MF,FW",West Ham United,eng Premier League,28.0,1996.0,38,38,3403,37.8,9,11,20,8,1,1,4,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,364,eng ENG,"MF,FW",eng Premier League,28.0,1996.0,37.8,9,79,28,35.4,2.09,0.74,0.1,0.29,1,1,453,eng ENG,"MF,FW",eng Premier League,28.0,1996.0,38,3403,90,99.5,37.8,38,90.0,32,0,,0,1.03,45,63,-18,-0.48,4.82,364,eng ENG,"MF,FW",eng Premier League,28.0,1996.0,37.8,4,0,0,19,49,17,148,27,28,0,"MF,FW",False,False,True,True,False,True,3403,28.0,0.7407407407407408,0.7142857142857143,0.5026455026455027,1.2962962962962965,0.10582010582010583,0.0,3.915343915343916,0.44973544973544977,True
114,Elliot Anderson,eng ENG,MF,Nottingham Forest,eng Premier League,22.0,2002.0,38,37,3331,37.0,4,4,8,3,1,1,8,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,114,eng ENG,MF,eng Premier League,22.0,2002.0,37.0,4,44,10,22.7,1.19,0.27,0.07,0.3,1,1,142,eng ENG,MF,eng Premier League,22.0,2002.0,38,3331,88,97.4,37.0,37,89.0,33,1,45.0,0,1.16,46,50,-4,-0.11,-1.12,114,eng ENG,MF,eng Premier League,22.0,2002.0,37.0,8,0,0,57,80,2,175,41,60,0,MF,False,False,True,False,True,False,3331,22.0,1.6216216216216217,1.1081081081081081,1.5405405405405406,2.1621621621621623,0.21621621621621623,0.0,4.72972972972973,0.05405405405405406,True
1305,Pierre Kalulu,fr FRA,"DF,MF",Juventus,it Serie A,25.0,2000.0,37,37,3281,36.5,2,4,6,2,0,0,4,1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,1305,fr FRA,"DF,MF",it Serie A,25.0,2000.0,36.5,2,13,4,30.8,0.36,0.11,0.15,0.5,0,0,1604,fr FRA,"DF,MF",it Serie A,25.0,2000.0,37,3281,89,95.9,36.5,37,89.0,36,0,,0,1.86,60,30,30,0.82,2.77,1305,fr FRA,"DF,MF",it Serie A,25.0,2000.0,36.5,4,1,1,34,16,0,94,24,35,0,"DF,MF",False,True,True,False,False,True,3281,25.0,0.958904109589041,0.6575342465753424,0.9315068493150684,0.4383561643835616,0.1095890410958904,0.0273972602739726,2.5753424657534247,0.0,True
2255,Morgan Rogers,eng ENG,MF,Aston Villa,eng Premier League,23.0,2002.0,37,37,3280,36.4,10,6,16,10,0,0,7,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,2255,eng ENG,MF,eng Premier League,23.0,2002.0,36.4,10,84,32,38.1,2.3,0.88,0.12,0.31,0,0,2802,eng ENG,MF,eng Premier League,23.0,2002.0,37,3280,89,95.9,36.4,37,89.0,32,0,,0,1.68,53,48,5,0.14,-1.15,2255,eng ENG,MF,eng Premier League,23.0,2002.0,36.4,7,0,0,46,49,3,51,13,23,0,MF,False,False,True,False,True,False,3280,23.0,0.6318681318681318,0.35714285714285715,1.2637362637362637,1.3461538461538463,0.19230769230769232,0.0,1.4010989010989012,0.08241758241758242,True
1775,Tyrick Mitchell,eng ENG,MF,Crystal Palace,eng Premier League,25.0,1999.0,38,36,3251,36.1,1,2,3,1,0,0,6,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,1775,eng ENG,MF,eng Premier League,25.0,1999.0,36.1,1,19,7,36.8,0.53,0.19,0.05,0.14,0,0,2196,eng ENG,MF,eng Premier League,25.0,1999.0,38,3251,86,95.1,36.1,36,88.0,31,2,45.0,0,1.18,38,47,-9,-0.25,0.28,1775,eng ENG,MF,eng Premier League,25.0,1999.0,36.1,6,0,0,24,28,5,104,33,65,0,MF,False,False,True,False,True,False,3251,25.0,1.8005540166204985,0.9141274238227146,0.6648199445983379,0.7756232686980609,0.16620498614958448,0.0,2.880886426592798,0.13850415512465372,True
137,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29.0,1995.0,37,37,3249,36.1,6,2,8,4,2,3,6,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,137,uy URU,MF,es La Liga,29.0,1995.0,36.1,6,58,19,32.8,1.61,0.53,0.07,0.21,2,3,169,uy URU,MF,es La Liga,29.0,1995.0,37,3249,88,95.0,36.1,37,88.0,31,0,,0,1.38,32,37,-5,-0.14,0.39,137,uy URU,MF,es La Liga,29.0,1995.0,36.1,6,0,0,60,67,4,19,21,43,0,MF,False,False,True,False,True,False,3249,29.0,1.1911357340720221,0.5817174515235457,1.6620498614958448,1.85595567867036,0.16620498614958448,0.0,0.5263157894736842,0.11080332409972299,True
2541,Dominik Szoboszlai,hu HUN,"MF,DF",Liverpool,eng Premier League,24.0,2000.0,36,36,3231,35.9,6,7,13,6,0,1,8,1,0.36,,,,,,,,,,,,,,,,,,,,,,,,,2541,hu HUN,"MF,DF",eng Premier League,24.0,2000.0,35.9,6,71,23,32.4,1.98,0.64,0.08,0.26,0,1,3179,hu HUN,"MF,DF",eng Premier League,24.0,2000.0,36,3231,90,94.5,35.9,36,90.0,34,0,,0,1.5,60,51,9,0.25,-0.23,2541,hu HUN,"MF,DF",eng Premier League,24.0,2000.0,35.9,8,1,0,42,30,2,206,29,32,0,"MF,DF",False,True,True,False,False,True,3231,24.0,0.8913649025069639,0.807799442896936,1.16991643454039,0.8356545961002786,0.22284122562674097,0.02785515320334262,5.73816155988858,0.05571030640668524,True
2173,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,29.0,1996.0,37,37,3203,35.6,1,0,1,1,0,0,10,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,2173,al ALB,MF,it Serie A,29.0,1996.0,35.6,1,34,5,14.7,0.96,0.14,0.03,0.2,0,0,2703,al ALB,MF,it Serie A,29.0,1996.0,37,3203,87,93.7,35.6,37,87.0,25,0,,0,1.03,27,45,-18,-0.51,1.15,2173,al ALB,MF,it Serie A,29.0,1996.0,35.6,10,0,0,43,59,0,16,44,50,0,MF,False,False,True,False,True,False,3203,29.0,1.4044943820224718,1.2359550561797752,1.2078651685393258,1.6573033707865168,0.28089887640449435,0.0,0.449438202247191,0.0,True
864,Aleix Febas,es ESP,MF,Elche,es La Liga,29.0,1996.0,36,36,3160,35.1,2,2,4,2,0,0,10,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,864,es ESP,MF,es La Liga,29.0,1996.0,35.1,2,23,8,34.8,0.66,0.23,0.09,0.25,0,0,1064,es ESP,MF,es La Liga,29.0,1996.0,36,3160,88,92.4,35.1,36,88.0,30,0,,0,1.11,45,52,-7,-0.2,0.15,864,es ESP,MF,es La Liga,29.0,1996.0,35.1,10,0,0,34,118,1,22,27,46,0,MF,False,False,True,False,True,False,3160,29.0,1.3105413105413104,0.7692307692307692,0.9686609686609686,3.3618233618233617,0.2849002849002849,0.0,0.6267806267806267,0.02849002849002849,True
