Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,position_tokens,is_goalkeeper,is_defender,is_midfielder,is_forward,is_pure_midfielder,is_mixed_midfielder,Min_numeric,Age_numeric,TklW_per90,Int_per90,Fls_per90,Fld_per90,CrdY_per90,CrdR_per90,Crs_per90,Off_per90,meets_preferred_minutes
114,Elliot Anderson,eng ENG,MF,Nottingham Forest,eng Premier League,22.0,2002.0,38,37,3331,37.0,4,4,8,3,1,1,8,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,114,eng ENG,MF,eng Premier League,22.0,2002.0,37.0,4,44,10,22.7,1.19,0.27,0.07,0.3,1,1,142,eng ENG,MF,eng Premier League,22.0,2002.0,38,3331,88,97.4,37.0,37,89.0,33,1,45.0,0,1.16,46,50,-4,-0.11,-1.12,114,eng ENG,MF,eng Premier League,22.0,2002.0,37.0,8,0,0,57,80,2,175,41,60,0,MF,False,False,True,False,True,False,3331,22.0,1.6216216216216217,1.1081081081081081,1.5405405405405406,2.1621621621621623,0.21621621621621623,0.0,4.72972972972973,0.05405405405405406,True
2255,Morgan Rogers,eng ENG,MF,Aston Villa,eng Premier League,23.0,2002.0,37,37,3280,36.4,10,6,16,10,0,0,7,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,2255,eng ENG,MF,eng Premier League,23.0,2002.0,36.4,10,84,32,38.1,2.3,0.88,0.12,0.31,0,0,2802,eng ENG,MF,eng Premier League,23.0,2002.0,37,3280,89,95.9,36.4,37,89.0,32,0,,0,1.68,53,48,5,0.14,-1.15,2255,eng ENG,MF,eng Premier League,23.0,2002.0,36.4,7,0,0,46,49,3,51,13,23,0,MF,False,False,True,False,True,False,3280,23.0,0.6318681318681318,0.35714285714285715,1.2637362637362637,1.3461538461538463,0.19230769230769232,0.0,1.4010989010989012,0.08241758241758242,True
1775,Tyrick Mitchell,eng ENG,MF,Crystal Palace,eng Premier League,25.0,1999.0,38,36,3251,36.1,1,2,3,1,0,0,6,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,1775,eng ENG,MF,eng Premier League,25.0,1999.0,36.1,1,19,7,36.8,0.53,0.19,0.05,0.14,0,0,2196,eng ENG,MF,eng Premier League,25.0,1999.0,38,3251,86,95.1,36.1,36,88.0,31,2,45.0,0,1.18,38,47,-9,-0.25,0.28,1775,eng ENG,MF,eng Premier League,25.0,1999.0,36.1,6,0,0,24,28,5,104,33,65,0,MF,False,False,True,False,True,False,3251,25.0,1.8005540166204985,0.9141274238227146,0.6648199445983379,0.7756232686980609,0.16620498614958448,0.0,2.880886426592798,0.13850415512465372,True
137,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29.0,1995.0,37,37,3249,36.1,6,2,8,4,2,3,6,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,137,uy URU,MF,es La Liga,29.0,1995.0,36.1,6,58,19,32.8,1.61,0.53,0.07,0.21,2,3,169,uy URU,MF,es La Liga,29.0,1995.0,37,3249,88,95.0,36.1,37,88.0,31,0,,0,1.38,32,37,-5,-0.14,0.39,137,uy URU,MF,es La Liga,29.0,1995.0,36.1,6,0,0,60,67,4,19,21,43,0,MF,False,False,True,False,True,False,3249,29.0,1.1911357340720221,0.5817174515235457,1.6620498614958448,1.85595567867036,0.16620498614958448,0.0,0.5263157894736842,0.11080332409972299,True
2173,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,29.0,1996.0,37,37,3203,35.6,1,0,1,1,0,0,10,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,2173,al ALB,MF,it Serie A,29.0,1996.0,35.6,1,34,5,14.7,0.96,0.14,0.03,0.2,0,0,2703,al ALB,MF,it Serie A,29.0,1996.0,37,3203,87,93.7,35.6,37,87.0,25,0,,0,1.03,27,45,-18,-0.51,1.15,2173,al ALB,MF,it Serie A,29.0,1996.0,35.6,10,0,0,43,59,0,16,44,50,0,MF,False,False,True,False,True,False,3203,29.0,1.4044943820224718,1.2359550561797752,1.2078651685393258,1.6573033707865168,0.28089887640449435,0.0,0.449438202247191,0.0,True
864,Aleix Febas,es ESP,MF,Elche,es La Liga,29.0,1996.0,36,36,3160,35.1,2,2,4,2,0,0,10,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,864,es ESP,MF,es La Liga,29.0,1996.0,35.1,2,23,8,34.8,0.66,0.23,0.09,0.25,0,0,1064,es ESP,MF,es La Liga,29.0,1996.0,36,3160,88,92.4,35.1,36,88.0,30,0,,0,1.11,45,52,-7,-0.2,0.15,864,es ESP,MF,es La Liga,29.0,1996.0,35.1,10,0,0,34,118,1,22,27,46,0,MF,False,False,True,False,True,False,3160,29.0,1.3105413105413104,0.7692307692307692,0.9686609686609686,3.3618233618233617,0.2849002849002849,0.0,0.6267806267806267,0.02849002849002849,True
111,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,24.0,2000.0,35,35,3119,34.7,1,1,2,1,0,0,10,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,111,wls WAL,MF,eng Premier League,24.0,2000.0,34.7,1,26,6,23.1,0.75,0.17,0.04,0.17,0,0,139,wls WAL,MF,eng Premier League,24.0,2000.0,35,3119,89,91.2,34.7,35,89.0,31,0,,0,1.29,45,49,-4,-0.12,0.78,111,wls WAL,MF,eng Premier League,24.0,2000.0,34.7,10,0,0,50,36,0,25,50,46,0,MF,False,False,True,False,True,False,3119,24.0,1.3256484149855907,1.440922190201729,1.440922190201729,1.037463976945245,0.2881844380403458,0.0,0.7204610951008645,0.0,True
878,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24.0,2001.0,36,35,3115,34.6,10,4,14,8,2,2,10,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,878,ar ARG,MF,eng Premier League,24.0,2001.0,34.6,10,72,31,43.1,2.08,0.9,0.11,0.26,2,2,1083,ar ARG,MF,eng Premier League,24.0,2001.0,36,3115,87,91.1,34.6,35,88.0,28,1,37.0,0,1.36,53,46,7,0.2,0.5,878,ar ARG,MF,eng Premier League,24.0,2001.0,34.6,10,0,0,36,45,1,89,20,24,0,MF,False,False,True,False,True,False,3115,24.0,0.6936416184971098,0.5780346820809248,1.0404624277456647,1.3005780346820808,0.2890173410404624,0.0,2.5722543352601157,0.028901734104046242,True
323,Antonio Blanco,es ESP,MF,Alavés,es La Liga,25.0,2000.0,36,36,3110,34.6,2,3,5,2,0,0,9,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,323,es ESP,MF,es La Liga,25.0,2000.0,34.6,2,40,13,32.5,1.16,0.38,0.05,0.15,0,0,399,es ESP,MF,es La Liga,25.0,2000.0,36,3110,86,90.9,34.6,36,86.0,28,0,,1,1.08,36,52,-16,-0.46,-1.62,323,es ESP,MF,es La Liga,25.0,2000.0,34.6,9,0,0,71,43,2,30,51,49,0,MF,False,False,True,False,True,False,3110,25.0,1.416184971098266,1.4739884393063583,2.052023121387283,1.2427745664739884,0.26011560693641617,0.0,0.8670520231213873,0.057803468208092484,True
990,Morgan Gibbs-White,eng ENG,MF,Nottingham Forest,eng Premier League,25.0,2000.0,37,35,3097,34.4,15,4,19,14,1,1,1,0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,990,eng ENG,MF,eng Premier League,25.0,2000.0,34.4,15,83,32,38.6,2.41,0.93,0.17,0.44,1,1,1226,eng ENG,MF,eng Premier League,25.0,2000.0,37,3097,84,90.6,34.4,35,87.0,20,2,33.0,0,1.16,42,45,-3,-0.09,-0.09,990,eng ENG,MF,eng Premier League,25.0,2000.0,34.4,1,0,0,26,41,5,42,12,16,0,MF,False,False,True,False,True,False,3097,25.0,0.46511627906976744,0.3488372093023256,0.7558139534883721,1.1918604651162792,0.029069767441860465,0.0,1.2209302325581395,0.14534883720930233,True
2217,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,26.0,1999.0,36,35,3094,34.4,4,5,9,4,0,0,3,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,2217,eng ENG,MF,eng Premier League,26.0,1999.0,34.4,4,40,13,32.5,1.16,0.38,0.1,0.31,0,0,2754,eng ENG,MF,eng Premier League,26.0,1999.0,36,3094,86,90.5,34.4,35,88.0,29,1,23.0,1,2.19,62,25,37,1.08,-0.86,2217,eng ENG,MF,eng Premier League,26.0,1999.0,34.4,3,0,0,26,11,1,177,33,33,0,MF,False,False,True,False,True,False,3094,26.0,0.9593023255813954,0.9593023255813954,0.7558139534883721,0.31976744186046513,0.0872093023255814,0.0,5.145348837209302,0.029069767441860465,True
