column,file_count,source_count,source_types,example_files
league,310,12,sofascore_match_info | sofascore_match_momentum | sofascore_match_player_stats | sofascore_match_shots | sofascore_match_team_stats | sofascore_season | transfermarkt | understat_league_table | understat_match_info | understat_match_shots | understat_rosters | understat_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
season,310,12,sofascore_match_info | sofascore_match_momentum | sofascore_match_player_stats | sofascore_match_shots | sofascore_match_team_stats | sofascore_season | transfermarkt | understat_league_table | understat_match_info | understat_match_shots | understat_rosters | understat_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
match_id,195,8,sofascore_match_info | sofascore_match_momentum | sofascore_match_player_stats | sofascore_match_shots | sofascore_match_team_stats | understat_match_info | understat_match_shots | understat_rosters,sofascore_match_info__England_EFL_Championship__2023_2024.parquet | sofascore_match_info__England_EFL_Championship__2024_2025.parquet | sofascore_match_info__England_EFL_Championship__2025_2026.parquet | sofascore_match_info__England_Premier_League__2023_2024.parquet | sofascore_match_info__England_Premier_League__2024_2025.parquet
goals,120,4,sofascore_match_player_stats | sofascore_season | understat_league_table | understat_rosters,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
team,100,3,sofascore_season | transfermarkt | understat_league_table,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
player_id,90,4,sofascore_match_player_stats | sofascore_match_shots | understat_match_shots | understat_rosters,sofascore_match_player_stats__England_EFL_Championship__2023_2024.parquet | sofascore_match_player_stats__England_EFL_Championship__2024_2025.parquet | sofascore_match_player_stats__England_EFL_Championship__2025_2026.parquet | sofascore_match_player_stats__England_Premier_League__2023_2024.parquet | sofascore_match_player_stats__England_Premier_League__2024_2025.parquet
away_team,76,4,clubelo | sofascore_match_info | sofascore_match_team_stats | understat_match_info,clubelo__fixtures__2026_07_31.parquet | sofascore_match_info__England_EFL_Championship__2023_2024.parquet | sofascore_match_info__England_EFL_Championship__2024_2025.parquet | sofascore_match_info__England_EFL_Championship__2025_2026.parquet | sofascore_match_info__England_Premier_League__2023_2024.parquet
home_team,76,4,clubelo | sofascore_match_info | sofascore_match_team_stats | understat_match_info,clubelo__fixtures__2026_07_31.parquet | sofascore_match_info__England_EFL_Championship__2023_2024.parquet | sofascore_match_info__England_EFL_Championship__2024_2025.parquet | sofascore_match_info__England_EFL_Championship__2025_2026.parquet | sofascore_match_info__England_Premier_League__2023_2024.parquet
minute,75,3,sofascore_match_momentum | sofascore_match_shots | understat_match_shots,sofascore_match_momentum__England_EFL_Championship__2023_2024.parquet | sofascore_match_momentum__England_EFL_Championship__2024_2025.parquet | sofascore_match_momentum__England_EFL_Championship__2025_2026.parquet | sofascore_match_momentum__England_Premier_League__2023_2024.parquet | sofascore_match_momentum__England_Premier_League__2024_2025.parquet
player,75,4,sofascore_season | understat_match_shots | understat_rosters | understat_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
xG,75,3,understat_league_table | understat_match_shots | understat_rosters,understat_league_table__England_Premier_League__2023_2024__away.parquet | understat_league_table__England_Premier_League__2023_2024__home.parquet | understat_league_table__England_Premier_League__2023_2024__overall.parquet | understat_league_table__England_Premier_League__2024_2025__away.parquet | understat_league_table__England_Premier_League__2024_2025__home.parquet
xg,75,3,sofascore_match_shots | sofascore_season | understat_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
_name_norm,70,3,sofascore_season | transfermarkt | understat_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
dispossessed,60,2,sofascore_match_player_stats | sofascore_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
fouls,60,2,sofascore_match_player_stats | sofascore_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
is_home,60,2,sofascore_match_player_stats | sofascore_match_shots,sofascore_match_player_stats__England_EFL_Championship__2023_2024.parquet | sofascore_match_player_stats__England_EFL_Championship__2024_2025.parquet | sofascore_match_player_stats__England_EFL_Championship__2025_2026.parquet | sofascore_match_player_stats__England_Premier_League__2023_2024.parquet | sofascore_match_player_stats__England_Premier_League__2024_2025.parquet
player_name,60,2,sofascore_match_player_stats | sofascore_match_shots,sofascore_match_player_stats__England_EFL_Championship__2023_2024.parquet | sofascore_match_player_stats__England_EFL_Championship__2024_2025.parquet | sofascore_match_player_stats__England_EFL_Championship__2025_2026.parquet | sofascore_match_player_stats__England_Premier_League__2023_2024.parquet | sofascore_match_player_stats__England_Premier_League__2024_2025.parquet
punches,60,2,sofascore_match_player_stats | sofascore_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
saves,60,2,sofascore_match_player_stats | sofascore_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
statisticsType,60,2,sofascore_match_player_stats | sofascore_match_team_stats,sofascore_match_player_stats__England_EFL_Championship__2023_2024.parquet | sofascore_match_player_stats__England_EFL_Championship__2024_2025.parquet | sofascore_match_player_stats__England_EFL_Championship__2025_2026.parquet | sofascore_match_player_stats__England_Premier_League__2023_2024.parquet | sofascore_match_player_stats__England_Premier_League__2024_2025.parquet
team_id,60,2,understat_league_table | understat_rosters,understat_league_table__England_Premier_League__2023_2024__away.parquet | understat_league_table__England_Premier_League__2023_2024__home.parquet | understat_league_table__England_Premier_League__2023_2024__overall.parquet | understat_league_table__England_Premier_League__2024_2025__away.parquet | understat_league_table__England_Premier_League__2024_2025__home.parquet
touches,60,2,sofascore_match_player_stats | sofascore_season,sofascore__England_EFL_Championship__2023_2024.parquet | sofascore__England_EFL_Championship__2024_2025.parquet | sofascore__England_EFL_Championship__2025_2026.parquet | sofascore__England_Premier_League__2023_2024.parquet | sofascore__England_Premier_League__2024_2025.parquet
