filename,source_type,competition,season,column,arrow_type,nullable
clubelo__fixtures__2026_07_31.parquet,clubelo,fixtures 2026 07 31,,date,large_string,True
clubelo__fixtures__2026_07_31.parquet,clubelo,fixtures 2026 07 31,,country,large_string,True
clubelo__fixtures__2026_07_31.parquet,clubelo,fixtures 2026 07 31,,home_team,large_string,True
clubelo__fixtures__2026_07_31.parquet,clubelo,fixtures 2026 07 31,,away_team,large_string,True
clubelo__fixtures__2026_07_31.parquet,clubelo,fixtures 2026 07 31,,home_win_prob,double,True
clubelo__fixtures__2026_07_31.parquet,clubelo,fixtures 2026 07 31,,draw_prob,double,True
clubelo__fixtures__2026_07_31.parquet,clubelo,fixtures 2026 07 31,,away_win_prob,double,True
clubelo__fixtures__2026_07_31.parquet,clubelo,fixtures 2026 07 31,,snapshot_date,large_string,True
clubelo__global__2026_07_31.parquet,clubelo,global 2026 07 31,,rank,double,True
clubelo__global__2026_07_31.parquet,clubelo,global 2026 07 31,,club,large_string,True
clubelo__global__2026_07_31.parquet,clubelo,global 2026 07 31,,country,large_string,True
clubelo__global__2026_07_31.parquet,clubelo,global 2026 07 31,,level,int64,True
clubelo__global__2026_07_31.parquet,clubelo,global 2026 07 31,,elo,double,True
clubelo__global__2026_07_31.parquet,clubelo,global 2026 07 31,,valid_from,large_string,True
clubelo__global__2026_07_31.parquet,clubelo,global 2026 07 31,,valid_to,large_string,True
clubelo__global__2026_07_31.parquet,clubelo,global 2026 07 31,,snapshot_date,large_string,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,chipped_passes_completed,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,crosses_completed,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,crosses_pct,double,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,passes_final_third,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,long_balls_completed,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,long_balls_pct,double,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,passes_opp_half,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,passes_own_half,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,passes_completed,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,pass_completion_pct,double,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,aerials_won,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,aerials_won_pct,double,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,aerials_lost,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,games,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,assists,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,pen_miss,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,pen_post,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,pen_on_target,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,ball_recoveries,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,big_chances_created,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,big_chances_missed,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,blocked_shots,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,clean_sheets,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,clearances,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,sofascore_rating_count,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,crosses_not_claimed,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,direct_red_cards,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,dispossessed,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,dribbled_past,int64,True
sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,duels_lost,int64,True
