filename,full_path,source_type,competition,season,rows,columns,row_groups,size_mb,modified_utc,sha256,status,error
clubelo__fixtures__2026_07_31.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\clubelo__fixtures__2026_07_31.parquet,clubelo,fixtures 2026 07 31,,77,8,1,0.009,2026-07-31T14:09:31.107747793+00:00,7cb8aea949ebb5887afecf984de4bdbd4ae94f665015bad7c2ceb9da2b9c7f58,ok,
clubelo__global__2026_07_31.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\clubelo__global__2026_07_31.parquet,clubelo,global 2026 07 31,,589,8,1,0.018,2026-07-31T14:09:30.370664120+00:00,2686c52f75eee5d587e266c5d00703a1031f94d69a91bf078a115eb25cd9df85,ok,
sofascore__England_EFL_Championship__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__England_EFL_Championship__2023_2024.parquet,sofascore_season,England EFL Championship,2023-2024,706,117,1,0.209,2026-07-28T04:55:02.478949070+00:00,f63f9c0adaa610af26babe2cf69aa52dc10770c7733e4f5f9eab06cef8c9c99a,ok,
sofascore__England_EFL_Championship__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__England_EFL_Championship__2024_2025.parquet,sofascore_season,England EFL Championship,2024-2025,737,117,1,0.212,2026-07-28T04:54:48.484709501+00:00,4e98bd6d453037181b4c515c5bc7d6be397af17fd478f4eb6c64504fb1296a3f,ok,
sofascore__England_EFL_Championship__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__England_EFL_Championship__2025_2026.parquet,sofascore_season,England EFL Championship,2025-2026,748,117,1,0.216,2026-07-28T04:54:34.274895191+00:00,52f95d1f207ab8e8699e92d6236ad70a1bdcceec8581fb9b0cff3eb20e2c5358,ok,
sofascore__England_Premier_League__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__England_Premier_League__2023_2024.parquet,sofascore_season,England Premier League,2023-2024,570,117,1,0.186,2026-07-28T04:49:15.371072769+00:00,131473ba53d7fc2c1247027c6ce6a0c01d91ac5adc65378cbb0e6e25404e8322,ok,
sofascore__England_Premier_League__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__England_Premier_League__2024_2025.parquet,sofascore_season,England Premier League,2024-2025,562,117,1,0.183,2026-07-28T04:49:04.357026100+00:00,274baaedf7d7ed431895e1a2f7911cb99067748ac5f56388b8b2e17488836e19,ok,
sofascore__England_Premier_League__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__England_Premier_League__2025_2026.parquet,sofascore_season,England Premier League,2025-2026,537,117,1,0.181,2026-07-28T04:48:53.252634048+00:00,558126b64cb1da89d7be72f262a434a3853a3683a3c34d91592e69f29d50494a,ok,
sofascore__France_Ligue_1__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__France_Ligue_1__2023_2024.parquet,sofascore_season,France Ligue 1,2023-2024,525,117,1,0.174,2026-07-28T04:51:31.393549919+00:00,701f4ec02f75c8135270a0a6da06e4f9aafb26fd1fdc41e92b04fba479d85d91,ok,
sofascore__France_Ligue_1__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__France_Ligue_1__2024_2025.parquet,sofascore_season,France Ligue 1,2024-2025,542,117,1,0.175,2026-07-28T04:51:20.299431324+00:00,7a2e588cfbf857bede7a4c44c712f0b6a91ee5797d588871657aa1d2861708cf,ok,
sofascore__France_Ligue_1__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__France_Ligue_1__2025_2026.parquet,sofascore_season,France Ligue 1,2025-2026,551,117,1,0.177,2026-07-28T04:51:09.220881701+00:00,99ff60896474347b53bd9e5a2b6122f46adff1f0ba3180a128c69ded6365e573,ok,
sofascore__Germany_Bundesliga__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__Germany_Bundesliga__2023_2024.parquet,sofascore_season,Germany Bundesliga,2023-2024,494,117,1,0.171,2026-07-28T04:50:20.440720797+00:00,e9afdc46e2d6fca50bd83e42dbe67813334570b0762b6a15dd0501ded9c309d6,ok,
sofascore__Germany_Bundesliga__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__Germany_Bundesliga__2024_2025.parquet,sofascore_season,Germany Bundesliga,2024-2025,481,117,1,0.169,2026-07-28T04:50:10.831727982+00:00,ad24d7cf72628d1e328f41be3d1bc29b0428ccba7050a8c88874bc466283089b,ok,
sofascore__Germany_Bundesliga__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__Germany_Bundesliga__2025_2026.parquet,sofascore_season,Germany Bundesliga,2025-2026,499,117,1,0.172,2026-07-28T04:50:01.226495743+00:00,ee1624d951517f0d59dbabb706384fdc36f35f146e9431fbd9dde7a5eed83411,ok,
sofascore__Italy_Serie_A__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__Italy_Serie_A__2023_2024.parquet,sofascore_season,Italy Serie A,2023-2024,591,117,1,0.185,2026-07-28T04:50:56.940863371+00:00,6c39b4826a373a455a680d1d150ece8c0126d459e623b7a4b17ab70becf270e8,ok,
sofascore__Italy_Serie_A__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__Italy_Serie_A__2024_2025.parquet,sofascore_season,Italy Serie A,2024-2025,600,117,1,0.186,2026-07-28T04:50:43.713398218+00:00,9e4eab419ce504dcef8ea0d505eac34b252198259522d423e2b5a70becf7665b,ok,
sofascore__Italy_Serie_A__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__Italy_Serie_A__2025_2026.parquet,sofascore_season,Italy Serie A,2025-2026,586,117,1,0.186,2026-07-28T04:50:32.596423388+00:00,3686597de60eb25913988f7b41ab41dbbb202273ef55449fd2ef20db1eb161ae,ok,
sofascore__Netherlands_Eredivisie__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__Netherlands_Eredivisie__2023_2024.parquet,sofascore_season,Netherlands Eredivisie,2023-2024,516,117,1,0.174,2026-07-28T04:52:05.597031593+00:00,7d03dda97467dd64f89e1fc4ed6202285aa1952a8d790e164c78d440992e1266,ok,
sofascore__Netherlands_Eredivisie__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__Netherlands_Eredivisie__2024_2025.parquet,sofascore_season,Netherlands Eredivisie,2024-2025,520,117,1,0.173,2026-07-28T04:51:54.620924950+00:00,4482063688bbbf42151451e4ace06d289e8c78a105a43ee623d736c211cfe819,ok,
sofascore__Netherlands_Eredivisie__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore__Netherlands_Eredivisie__2025_2026.parquet,sofascore_season,Netherlands Eredivisie,2025-2026,531,117,1,0.176,2026-07-28T04:51:43.618961573+00:00,12df8e446b69b87f914f47db6eb508a83f483d2e988b4d6157b449638ec985dd,ok,
