source,base_player,base_team,candidate_player,candidate_team,competition,season,name_score,team_exact,adjusted_score
sofascore_match,Junior Zé,FC Midtjylland,Júnior Brumado,FC Midtjylland,UEFA Europa League,2025-2026,85.5,True,90.5
understat,Andy Robertson,Liverpool FC,Andrew Robertson,Liverpool,England Premier League,2023-2024,86.66666666666667,True,91.66666666666667
understat,Pervis Estupiñán,Brighton & Hove Albion,Estupiñán,Brighton,England Premier League,2023-2024,90.0,False,90.0
understat,Kostas Tsimikas,Liverpool FC,Konstantinos Tsimikas,Liverpool,England Premier League,2023-2024,83.33333333333334,True,88.33333333333334
understat,Pape Matar Sarr,Tottenham Hotspur,Pape Sarr,Tottenham Hotspur,England Premier League,2023-2024,85.5,True,90.5
understat,Đorđe Petrović,Chelsea,Djordje Petrovic,Chelsea,England Premier League,2023-2024,82.75862068965517,True,87.75862068965517
understat,Joe Gomez,Liverpool FC,Joseph Gomez,Liverpool,England Premier League,2023-2024,85.71428571428572,True,90.71428571428572
understat,Matty Cash,Aston Villa,Matthew Cash,Aston Villa,England Premier League,2023-2024,81.81818181818181,True,86.81818181818181
understat,Bobby De Cordova-Reid,Fulham,Bobby Reid,Fulham,England Premier League,2023-2024,85.5,True,90.5
understat,Tino Livramento,Newcastle United,Valentino Livramento,Newcastle United,England Premier League,2023-2024,85.71428571428572,True,90.71428571428572
understat,Nayef Aguerd,West Ham United,Naif Aguerd,West Ham,England Premier League,2023-2024,86.95652173913044,False,86.95652173913044
understat,Toti Gomes,Wolverhampton,Toti,Wolverhampton Wanderers,England Premier League,2023-2024,90.0,False,90.0
understat,Ansu Fati,Brighton & Hove Albion,Anssumane Fati,Brighton,England Premier League,2023-2024,85.5,False,85.5
understat,Jonny Otto,Wolverhampton,Jonny,Wolverhampton Wanderers,England Premier League,2023-2024,90.0,False,90.0
understat,Ryan Giles,Luton Town,Ryan Gravenberch,Liverpool,England Premier League,2023-2024,85.5,False,85.5
understat,Fodé Ballo-Touré,Fulham,Fode Toure,Fulham,England Premier League,2023-2024,85.5,True,90.5
understat,Ben Gannon-Doak,Liverpool FC,Ben Doak,Liverpool,England Premier League,2023-2024,85.5,True,90.5
understat,Kaine Kesler-Hayden,Aston Villa,Kaine Hayden,Aston Villa,England Premier League,2023-2024,85.5,True,90.5
understat,Joe Johnson,Luton Town,Joseph Johnson,Luton,England Premier League,2023-2024,88.0,False,88.0
understat,Savinho,Manchester City,Sávio,Manchester City,England Premier League,2024-2025,83.33333333333334,True,88.33333333333334
understat,Abdul Fatawu Issahaku,Leicester City,Abdul Fatawu,Leicester,England Premier League,2024-2025,90.0,False,90.0
understat,Kostas Tsimikas,Liverpool FC,Konstantinos Tsimikas,Liverpool,England Premier League,2024-2025,83.33333333333334,True,88.33333333333334
understat,Pervis Estupiñán,Brighton & Hove Albion,Estupiñán,Brighton,England Premier League,2024-2025,90.0,False,90.0
understat,Matty Cash,Aston Villa,Matthew Cash,Aston Villa,England Premier League,2024-2025,81.81818181818181,True,86.81818181818181
understat,Toti Gomes,Wolverhampton,Toti,Wolverhampton Wanderers,England Premier League,2024-2025,90.0,False,90.0
understat,Tino Livramento,Newcastle United,Valentino Livramento,Newcastle United,England Premier League,2024-2025,85.71428571428572,True,90.71428571428572
understat,Joe Gomez,Liverpool FC,Joseph Gomez,Liverpool,England Premier League,2024-2025,85.71428571428572,True,90.71428571428572
understat,Pape Matar Sarr,Tottenham Hotspur,Pape Sarr,Tottenham Hotspur,England Premier League,2024-2025,85.5,True,90.5
understat,Andy Robertson,Liverpool FC,Andrew Robertson,Liverpool,England Premier League,2024-2025,86.66666666666667,True,91.66666666666667
understat,Joe Aribo,Southampton,Joe Ayodele-Aribo,Southampton,England Premier League,2024-2025,85.5,True,90.5
understat,Bobby De Cordova-Reid,Leicester City,Bobby Reid,Leicester,England Premier League,2024-2025,85.5,False,85.5
