column,dtype,non_null_rows,coverage_pct
player_name,str,18968,100.0
team_name,str,18968,100.0
competition,str,18968,100.0
season,str,18968,100.0
name_norm,str,18968,100.0
team_norm,str,18968,100.0
sofascore_id,int64,18968,100.0
sofascore_team_id,int64,18968,100.0
_source_file,str,18968,100.0
sofa_chipped_passes_completed,int64,18968,100.0
sofa_crosses_completed,int64,18968,100.0
sofa_crosses_pct,float64,18968,100.0
sofa_passes_final_third,int64,18968,100.0
sofa_long_balls_completed,int64,18968,100.0
sofa_long_balls_pct,float64,18968,100.0
sofa_passes_opp_half,int64,18968,100.0
sofa_passes_own_half,int64,18968,100.0
sofa_passes_completed,int64,18968,100.0
sofa_pass_completion_pct,float64,18968,100.0
sofa_aerials_won,int64,18968,100.0
sofa_aerials_won_pct,float64,18968,100.0
sofa_aerials_lost,int64,18968,100.0
sofa_games,int64,18968,100.0
sofa_assists,int64,18968,100.0
sofa_pen_miss,int64,18968,100.0
sofa_pen_post,int64,18968,100.0
sofa_pen_on_target,int64,18968,100.0
sofa_ball_recoveries,float64,18933,99.82
sofa_big_chances_created,int64,18968,100.0
sofa_big_chances_missed,int64,18968,100.0
sofa_blocked_shots,int64,18968,100.0
sofa_clean_sheets,int64,18968,100.0
sofa_clearances,int64,18968,100.0
sofa_sofascore_rating_count,int64,18968,100.0
sofa_crosses_not_claimed,int64,18968,100.0
sofa_direct_red_cards,int64,18968,100.0
sofa_dispossessed,int64,18968,100.0
sofa_dribbled_past,int64,18968,100.0
sofa_duels_lost,int64,18968,100.0
sofa_errors_leading_to_goal,int64,18968,100.0
sofa_errors_leading_to_shot,int64,18968,100.0
sofa_xag,float64,18783,99.02
sofa_xg,float64,15919,83.93
sofa_fouls,int64,18968,100.0
sofa_goals_freekick,int64,18968,100.0
sofa_goal_conversion_pct,float64,18968,100.0
sofa_goal_kicks,float64,18933,99.82
sofa_goals,int64,18968,100.0
sofa_goals_assists,int64,18968,100.0
sofa_goals_conceded,int64,18968,100.0
sofa_goals_conceded_inside_box,int64,18968,100.0
sofa_goals_conceded_outside_box,int64,18968,100.0
sofa_goals_inside_box,int64,18968,100.0
sofa_goals_outside_box,int64,18968,100.0
sofa_goals_prevented,float64,1359,7.16
sofa_ground_duels_won,int64,18968,100.0
sofa_ground_duels_won_pct,float64,18968,100.0
sofa_goals_headed,int64,18968,100.0
sofa_high_claims,int64,18968,100.0
sofa_hit_woodwork,int64,18968,100.0
sofa_passes_inaccurate,int64,18968,100.0
sofa_interceptions,int64,18968,100.0
sofa_key_passes,int64,18968,100.0
sofa_goals_left_foot,int64,18968,100.0
sofa_starts,int64,18968,100.0
sofa_minutes,int64,18968,100.0
sofa_offsides,int64,18968,100.0
sofa_outfield_blocks,float64,6994,36.87
sofa_own_goals,int64,18968,100.0
sofa_pass_to_assist,int64,18968,100.0
sofa_pens_taken,int64,18968,100.0
sofa_pens_conceded,int64,18968,100.0
sofa_pen_conversion_pct,float64,18968,100.0
sofa_pens_faced,int64,18968,100.0
sofa_goals_penalty,int64,18968,100.0
sofa_pens_saved,int64,18968,100.0
sofa_pens_won,int64,18968,100.0
sofa_possession_lost,int64,18968,100.0
sofa_possession_won_att_third,int64,18968,100.0
sofa_punches,int64,18968,100.0
sofa_sofascore_rating,float64,18968,100.0
sofa_red_cards,int64,18968,100.0
sofa_goals_right_foot,int64,18968,100.0
sofa_runs_out,int64,18968,100.0
sofa_saves_inside_box,int64,18968,100.0
sofa_saves_outside_box,int64,18968,100.0
sofa_saves,int64,18968,100.0
sofa_saves_caught,int64,18968,100.0
sofa_saves_parried,int64,18968,100.0
sofa_scoring_frequency,float64,18968,100.0
sofa_set_piece_conversion,float64,18968,100.0
sofa_shots_set_piece,int64,18968,100.0
sofa_shots_inside_box,int64,18968,100.0
sofa_shots_outside_box,int64,18968,100.0
sofa_shots_off_target,int64,18968,100.0
sofa_shots_on_target,int64,18968,100.0
sofa_dribbles_completed,int64,18968,100.0
sofa_dribbles_pct,float64,18968,100.0
sofa_runs_out_successful,int64,18968,100.0
sofa_tackles,int64,18968,100.0
sofa_tackles_won,int64,18968,100.0
sofa_tackles_won_pct,float64,18968,100.0
sofa_attempt_assists,int64,18968,100.0
sofa_chipped_passes_total,int64,18968,100.0
sofa_dribbles_attempted,int64,18968,100.0
sofa_crosses_total,int64,18968,100.0
sofa_duels_won,int64,18968,100.0
sofa_duels_won_pct,float64,18968,100.0
sofa_long_balls_total,int64,18968,100.0
sofa_passes_opp_half_total,int64,18968,100.0
sofa_passes_own_half_total,int64,18968,100.0
sofa_passes_total,int64,18968,100.0
sofa_sofascore_rating_total,float64,18968,100.0
sofa_shots,int64,18968,100.0
sofa_totw_appearances,int64,18968,100.0
sofa_touches,int64,18968,100.0
sofa_fouled,int64,18968,100.0
sofa_yellow_cards,int64,18968,100.0
sofa_yellow_red_cards,int64,18968,100.0
sofa__name_norm,str,18968,100.0
base_source,str,18968,100.0
player_id,str,18968,100.0
match_minutesPlayed,float64,18953,99.92
match_totalPass,float64,18953,99.92
match_accuratePass,float64,18953,99.92
match_totalLongBalls,float64,18953,99.92
match_accurateLongBalls,float64,18953,99.92
match_accurateOwnHalfPasses,float64,18953,99.92
match_totalOwnHalfPasses,float64,18953,99.92
match_accurateOppositionHalfPasses,float64,18953,99.92
match_totalOppositionHalfPasses,float64,18953,99.92
match_totalCross,float64,18953,99.92
match_accurateCross,float64,18953,99.92
match_aerialWon,float64,18953,99.92
match_aerialLost,float64,18953,99.92
match_duelWon,float64,18953,99.92
match_duelLost,float64,18953,99.92
match_totalClearance,float64,18953,99.92
match_ballRecovery,float64,18953,99.92
match_totalTackle,float64,18953,99.92
match_wonTackle,float64,18953,99.92
match_interceptionWon,float64,18953,99.92
match_challengeLost,float64,18953,99.92
match_dispossessed,float64,18953,99.92
match_totalContest,float64,18953,99.92
match_wonContest,float64,18953,99.92
match_unsuccessfulTouch,float64,18953,99.92
match_touches,float64,18953,99.92
match_possessionLostCtrl,float64,18953,99.92
match_keyPass,float64,18953,99.92
match_goalAssist,float64,18953,99.92
match_bigChanceCreated,float64,18953,99.92
match_bigChanceMissed,float64,18953,99.92
match_totalShots,float64,18953,99.92
