player_name,team_name,competition,season,_merge_key,source
Joe Lumley,Bristol City,England EFL Championship,2025-2026,joelumley|bristolcity|englandeflchampionship|2025-2026,sofascore_match
Joe Wildsmith,Middlesbrough,England EFL Championship,2025-2026,joewildsmith|middlesbrough|englandeflchampionship|2025-2026,sofascore_match
Neto,Arsenal,England Premier League,2024-2025,neto|arsenal|englandpremierleague|2024-2025,sofascore_match
Igor Júlio,Brighton & Hove Albion,England Premier League,2025-2026,igorjulio|brightonhovealbion|englandpremierleague|2025-2026,sofascore_match
Rémy Riou,Paris FC,France Ligue 1,2023-2024,remyriou|paris|franceligue1|2023-2024,sofascore_match
Antonin Cartillier,Stade Brestois,France Ligue 1,2023-2024,antonincartillier|stadebrestois|franceligue1|2023-2024,sofascore_match
Dario D'Ambrosio,Monza,Italy Serie A,2023-2024,dariodambrosio|monza|italyseriea|2023-2024,sofascore_match
Pierluigi Gollini,AS Roma,Italy Serie A,2024-2025,pierluigigollini|asroma|italyseriea|2024-2025,sofascore_match
Saba Sazonov,Empoli,Italy Serie A,2024-2025,sabasazonov|empoli|italyseriea|2024-2025,sofascore_match
Nikita Contini,SSC Napoli,Italy Serie A,2024-2025,nikitacontini|napoli|italyseriea|2024-2025,sofascore_match
Gonçalo Rodrigues,Rio Ave,Portugal Primeira Liga,2023-2024,goncalorodrigues|rioave|portugalprimeiraliga|2023-2024,sofascore_match
Arthur Vermeeren,Atlético Madrid,UEFA Champions League,2023-2024,arthurvermeeren|atleticomadrid|uefachampionsleague|2023-2024,sofascore_match
Sacha Boey,Bayern München,UEFA Champions League,2023-2024,sachaboey|bayernmunchen|uefachampionsleague|2023-2024,sofascore_match
Konstantinos Tzolakis,Olympiacos FC,UEFA Europa League,2023-2024,konstantinostzolakis|olympiacos|uefaeuropaleague|2023-2024,sofascore_match
Victor Nelsson,AS Roma,UEFA Europa League,2024-2025,victornelsson|asroma|uefaeuropaleague|2024-2025,sofascore_match
Monsef Bakrar,GNK Dinamo Zagreb,UEFA Europa League,2025-2026,monsefbakrar|gnkdinamozagreb|uefaeuropaleague|2025-2026,sofascore_match
Junior Zé,FC Midtjylland,UEFA Europa League,2025-2026,juniorze|midtjylland|uefaeuropaleague|2025-2026,sofascore_match
James Ward-Prowse,Southampton,England EFL Championship,2023-2024,jameswardprowse|southampton|englandeflchampionship|2023-2024,understat
